"id","name"
0,"Abra"
1,"Agusan del Norte"
2,"Agusan del Sur"
3,"Aklan"
4,"Albay"
5,"Antique"
6,"Apayao"
7,"Aurora"
8,"Basilan"
9,"Bataan"
10,"Batanes"
11,"Batangas"
12,"Benguet"
13,"Biliran"
14,"Bohol"
15,"Bukidnon"
16,"Bulacan"
17,"Butuan City"
18,"Cagayan"
19,"Cagayan de Oro City"
20,"Camarines Norte"
21,"Camarines Sur"
22,"Camiguin"
23,"Capiz"
24,"Catanduanes"
25,"Cavite"
26,"Cebu"
27,"Compostela Valley"
28,"Cotabato (North Cotabato)"
29,"Davao City"
30,"Davao Occidental"
31,"Davao Oriental"
32,"Davao del Norte"
33,"Davao del Sur"
34,"Dinagat Islands"
35,"Eastern Samar"
36,"General Santos City"
37,"Guimaras"
38,"Ifugao"
39,"Iligan City"
40,"Ilocos Norte"
41,"Ilocos Sur"
42,"Iloilo"
43,"Iloilo City"
44,"Inter-regional"
45,"Isabela"
46,"Kalinga"
47,"La Union"
48,"Laguna"
49,"Lanao del Norte"
50,"Lanao del Sur"
51,"Leyte"
52,"Maguindanao"
53,"Marinduque"
54,"Masbate"
55,"Misamis Occidental"
56,"Misamis Oriental"
57,"Mountain Province"
58,"Nationwide"
59,"Negros Occidental"
60,"Negros Oriental"
61,"Northern Samar"
62,"Nueva Ecija"
63,"Nueva Vizcaya"
64,"Occidental Mindoro"
65,"Oriental Mindoro"
66,"Palawan"
67,"Pampanga"
68,"Pangasinan"
69,"Puerto Princesa City"
70,"Quezon"
71,"Quirino"
72,"Regionwide"
73,"Regionwide (1)"
74,"Regionwide (10)"
75,"Regionwide (11)"
76,"Regionwide (12)"
77,"Regionwide (2)"
78,"Regionwide (3)"
79,"Regionwide (4A)"
80,"Regionwide (4B)"
81,"Regionwide (5)"
82,"Regionwide (6)"
83,"Regionwide (8)"
84,"Regionwide (9)"
85,"Regionwide (ARMM)"
86,"Regionwide (CAR)"
87,"Regionwide (CARAGA)"
88,"Rizal"
89,"Romblon"
90,"Samar"
91,"Santiago City"
92,"Sarangani"
93,"Siquijor"
94,"Sorsogon"
95,"South Cotabato"
96,"Southern Leyte"
97,"Sultan Kudarat"
98,"Sulu"
99,"Surigao del Norte"
100,"Surigao del Sur"
101,"Tarlac"
102,"Tawi-Tawi"
103,"Zambales"
104,"Zamboanga City"
105,"Zamboanga Sibugay"
106,"Zamboanga del Norte"
107,"Zamboanga del Sur"
108,"na"
