company_id,company_name,listing_date,security_name,security_symbol,security_symbol_id,security_type,subsector_name
153,Republic Glass Holdings Corporation,1959-07-17 00:00:00.000,REPUBLIC GLASS HOLDINGS CORPORATION,REG,153,S,8
232,Rizal Commercial Banking Corporation,1986-11-06 00:00:00.000,RIZAL COMMERCIAL BANKING CORPORATION,RCB,113,S,1
195,Robinsons Land Corporation,1989-10-16 00:00:00.000,ROBINSONS LAND CORPORATION,RLC,312,S,9
646,"Robinsons Retail Holdings, Inc.",2013-11-11 00:00:00.000,"ROBINSONS RETAIL HOLDINGS, INC.",RRHI,589,S,26
635,Rockwell Land Corporation,2012-05-11 00:00:00.000,ROCKWELL LAND CORPORATION,ROCK,574,S,9
64,"Roxas Holdings,  Inc.",1996-08-08 00:00:00.000,"ROXAS HOLDINGS, INC.",ROX,250,S,4
54,"Roxas and Company, Inc.",1948-11-29 00:00:00.000,"ROXAS AND COMPANY, INC.",RCI,363,S,4
658,SBS Philippines Corporation,2015-08-10 00:00:00.000,SBS Philippines Corporation,SBS,612,S,16
655,SFA Semicon Philippines Corporation,2014-12-01 00:00:00.000,SFA SEMICON PHILIPPINES CORPORATION,SSP,605,S,24
664,"SHAKEY'S PIZZA ASIA VENTURES, INC.",2016-12-15 00:00:00.000,"SHAKEY'S PIZZA ASIA VENTURES, INC.",PIZZA,631,S,4
599,SM Investments Corporation,2005-03-22 00:00:00.000,SM INVESTMENTS CORPORATION,SM,520,S,8
112,"SM Prime Holdings, Inc.",1994-07-05 00:00:00.000,"SM PRIME HOLDINGS, INC.",SMPH,314,S,9
161,"SOCResources, Inc.",1994-01-05 00:00:00.000,"SOCResources, Inc.",SOC,345,S,8
237,SPC Power Corporation,2002-04-02 00:00:00.000,SPC POWER CORPORATION,SPC,466,S,3
654,"SSI Group, Inc.",2014-11-07 00:00:00.000,"SSI Group, Inc.",SSI,604,S,26
222,"STI Education Systems Holdings, Inc.",1976-10-12 00:00:00.000,"STI EDUCATION SYSTEMS HOLDINGS, INC.",STI,376,S,15
154,San Miguel Corporation,1948-11-05 00:00:00.000,SAN MIGUEL CORPORATION,SMC,165,S,8
